time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-29T03:25:01.708Z,60.2143,-141.3027,0,1.9,ml,,,,0.81,ak,ak17400595,2017-11-29T03:28:16.123Z,"64km ENE of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-11-29T03:18:34.170Z,38.824501,-122.7993317,2.3,1.61,md,28,57,0.008463,0.04,nc,nc72931990,2017-11-29T03:21:23.635Z,"6km W of Cobb, California",earthquake,0.23,0.41,0.04,6,automatic,nc,nc
2017-11-29T03:16:31.050Z,37.533165,-118.8198318,4.82,1.15,md,14,150,0.05724,0.01,nc,nc72931985,2017-11-29T03:42:02.553Z,"18km SE of Mammoth Lakes, California",earthquake,0.45,1.09,0.08,12,automatic,nc,nc
2017-11-29T03:08:04.336Z,60.8296,-151.9082,79.2,1.7,ml,,,,0.35,ak,ak17400592,2017-11-29T03:20:32.127Z,"37km WNW of Nikiski, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-11-29T02:50:44.500Z,33.9766667,-116.9195,5.78,0.98,ml,24,63,0.07424,0.16,ci,ci37819871,2017-11-29T02:54:28.564Z,"7km NW of Banning, CA",earthquake,0.23,0.77,0.239,30,automatic,ci,ci
2017-11-29T02:34:24.710Z,10.1856,-83.9908,12.66,3.2,ml,,112,0.217,0.74,us,us2000bvrr,2017-11-29T03:03:30.870Z,"22km W of Guapiles, Costa Rica",earthquake,1.4,5.2,0.074,24,reviewed,us,us
2017-11-29T02:25:00.720Z,-2.0193,-77.3655,153.81,4.4,mb,,48,1.591,1.39,us,us2000bvrq,2017-11-29T02:56:52.040Z,"72km ESE of Palora, Ecuador",earthquake,8,7,0.068,63,reviewed,us,us
2017-11-29T02:11:39.080Z,36.3771667,-120.9524994,5.45,1.73,md,14,166,0.07168,0.03,nc,nc72931970,2017-11-29T03:10:03.478Z,"23km NE of King City, California",earthquake,0.5,0.75,0.29,8,automatic,nc,nc
2017-11-29T02:07:38.690Z,38.8903351,-122.8746643,1.91,2.05,md,22,152,0.03177,0.03,nc,nc72931965,2017-11-29T02:59:03.774Z,"10km SSW of Kelseyville, California",earthquake,0.29,0.72,0.09,9,automatic,nc,nc
2017-11-29T02:05:51.782Z,62.239,-145.7115,24.6,1.5,ml,,,,0.47,ak,ak17400271,2017-11-29T02:11:28.486Z,"16km NNW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-11-29T01:47:23.160Z,38.8103333,-122.8136673,1.78,0.51,md,14,73,0.01221,0.05,nc,nc72931960,2017-11-29T01:57:04.300Z,"6km NW of The Geysers, California",earthquake,0.26,0.55,0.04,3,automatic,nc,nc
